gpu_energy,time,instruction_dataset_index,run,question_tokens,response_tokens,quantization,quantization_object,model,toech_memory_allocated
387.4180000000051,11.0440514087677,0.0,0.0,60.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
285.74400000000605,8.09262466430664,1.0,0.0,101.0,221.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
47.55300000001444,1.350682258605957,2.0,0.0,48.0,65.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
390.2299999999814,11.016923666000366,3.0,0.0,52.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
256.2839999999851,7.250537157058716,4.0,0.0,119.0,201.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
96.75400000001537,2.5623080730438232,5.0,0.0,94.0,92.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
385.4459999999963,10.993378400802612,6.0,0.0,44.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
388.7250000000349,11.08858585357666,7.0,0.0,70.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
358.0199999999604,10.250515222549438,8.0,0.0,44.0,273.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
387.945000000007,11.001843214035034,9.0,0.0,48.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
388.68700000003446,11.084628820419312,10.0,0.0,65.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
388.2269999999553,10.994179725646973,11.0,0.0,44.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
391.6000000000349,11.121451139450071,12.0,0.0,84.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
397.225999999966,11.10740351676941,13.0,0.0,76.0,290.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
115.9079999999958,3.3142647743225098,14.0,0.0,150.0,108.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
327.75400000001537,9.344419240951538,15.0,0.0,48.0,252.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
86.34799999999814,2.2427752017974854,16.0,0.0,57.0,86.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
106.32800000003772,2.9951350688934326,17.0,0.0,51.0,104.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
109.59799999999814,3.1727585792541504,18.0,0.0,66.0,107.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
393.71999999997206,11.020487308502195,19.0,0.0,54.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
389.0920000000042,11.144752264022827,20.0,0.0,109.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
392.0050000000047,11.126749515533447,21.0,0.0,85.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
299.1499999999651,8.477162599563599,22.0,0.0,49.0,232.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
348.37000000005355,9.880544424057009,23.0,0.0,54.0,264.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
388.40200000000186,10.994531869888306,24.0,0.0,45.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
175.4130000000005,4.920456647872925,25.0,0.0,66.0,148.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
389.2019999999902,10.990179300308228,26.0,0.0,42.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
388.48099999997066,10.986002206802368,27.0,0.0,41.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
253.36600000003816,7.133502960205078,28.0,0.0,79.0,199.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
389.0339999999851,11.15549659729004,29.0,0.0,96.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
389.0810000000056,11.089372396469116,30.0,0.0,69.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
138.9769999999553,3.812559366226196,31.0,0.0,60.0,123.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
392.01600000000326,11.024792909622192,32.0,0.0,57.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
386.0020000000368,11.013153076171877,33.0,0.0,52.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
385.6219999999739,11.010135412216188,34.0,0.0,51.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
390.33699999999953,11.00812602043152,35.0,0.0,49.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
388.0510000000359,11.030481100082396,36.0,0.0,59.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
107.82799999997953,2.965789794921875,37.0,0.0,186.0,100.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
389.31199999997625,11.02777862548828,38.0,0.0,58.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
387.640000000014,11.115103006362917,39.0,0.0,81.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
387.68700000003446,11.009438037872314,40.0,0.0,50.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
72.19499999994878,2.033776998519897,41.0,0.0,80.0,80.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
388.5960000000196,11.029989004135132,42.0,0.0,59.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
386.734999999986,11.026575088500977,43.0,0.0,56.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
108.26699999999256,3.049398899078369,44.0,0.0,77.0,104.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
57.12100000004284,1.5967564582824707,45.0,0.0,117.0,70.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
385.53699999995297,10.980926990509031,46.0,0.0,39.0,290.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
393.954000000027,11.169559717178345,47.0,0.0,120.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
242.7339999999968,6.902313470840454,48.0,0.0,39.0,196.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
104.954000000027,2.8385066986083984,49.0,0.0,123.0,99.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
384.795999999973,11.040462017059326,50.0,0.0,64.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
393.6600000000326,11.096864461898804,51.0,0.0,71.0,290.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
385.5659999999916,11.035667419433594,52.0,0.0,62.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
392.6319999999832,11.104339838027954,53.0,0.0,76.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
385.61999999999534,11.001232147216797,54.0,0.0,46.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
388.9249999999884,11.08407211303711,55.0,0.0,69.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
384.8060000000405,11.040351152420044,56.0,0.0,64.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
295.8719999999739,8.259650707244873,57.0,0.0,96.0,224.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
385.2779999999912,11.039382457733154,58.0,0.0,64.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
386.4789999999921,11.020285367965698,59.0,0.0,54.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
101.875,2.750525951385498,60.0,0.0,64.0,98.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
389.54200000001583,11.144461631774902,61.0,0.0,108.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
392.3510000000242,11.027797937393188,62.0,0.0,58.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
16.980999999970663,0.4283442497253418,63.0,0.0,51.0,43.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
139.04800000000978,3.772061824798584,64.0,0.0,71.0,121.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
112.71100000001024,3.12776780128479,65.0,0.0,56.0,107.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
385.7679999999818,11.001081705093384,66.0,0.0,47.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
115.3310000000056,3.19908094406128,67.0,0.0,43.0,109.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
59.95199999999022,1.5561854839324951,68.0,0.0,138.0,67.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
265.63400000002,7.48418402671814,69.0,0.0,50.0,209.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
385.5139999999665,11.033655405044556,70.0,0.0,61.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
385.29200000001583,10.987086534500122,71.0,0.0,42.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
392.4400000000023,11.116421222686768,72.0,0.0,81.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
152.14000000001397,4.174361944198608,73.0,0.0,234.0,126.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
249.2149999999674,7.003650665283203,74.0,0.0,47.0,198.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
329.3209999999963,9.43292760848999,75.0,0.0,279.0,241.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
388.9800000000396,11.035130739212036,76.0,0.0,61.0,291.0,Without,,meta-llama/Llama-3.2-1B-Instruct,4951785984
