gpu_energy,time,instruction_dataset_index,run,question_tokens,response_tokens,quantization,quantization_object,model,toech_memory_allocated
115.97299999999814,3.5189285278320312,0.0,0.0,56.0,182.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
105.70699999999852,2.9520184993743896,1.0,0.0,95.0,173.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
6.359000000000378,0.0521612167358398,2.0,0.0,42.0,30.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
179.29300000000148,5.147059917449951,3.0,0.0,46.0,285.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
70.42900000000009,1.8689756393432613,4.0,0.0,113.0,120.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
26.386999999998807,0.6582672595977783,5.0,0.0,90.0,60.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
180.1870000000017,5.125999212265015,6.0,0.0,38.0,285.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
186.39199999999985,5.163767337799072,7.0,0.0,64.0,285.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
141.3169999999991,4.005509853363037,8.0,0.0,38.0,229.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
182.02899999999863,5.1415557861328125,9.0,0.0,42.0,285.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
144.99500000000262,3.998069524765015,10.0,0.0,59.0,227.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
82.88199999999779,2.201504945755005,11.0,0.0,38.0,139.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
182.92599999999948,5.200900077819824,12.0,0.0,78.0,285.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
184.125,5.19115161895752,13.0,0.0,70.0,285.0,Without,,Qwen/Qwen2.5-0.5B-Instruct,1985384448
